model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.91%;minimize_control_derivatives_offset_maximize_distance;5257342.58;5.70ms;1.73ms;12.63ms;2.82ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-50d382c6-0a1a-4ff1-a5f3-d7374eed3930/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.89%;minimize_control_derivatives_offset_maximize_distance;1514932.80;12.44ms;4.22ms;26.79ms;2.39ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-38106bf3-ffbc-47bb-acb2-e6aa0d2ebbbb/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.86%;minimize_control_derivatives_offset_maximize_distance;118413.14;5.97ms;1.20ms;8.52ms;4.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-fa9ab211-e69b-40bc-998a-2fa4516a6458/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;66.48%;minimize_control_derivatives_offset_maximize_distance;2918952.45;13.18ms;3.03ms;22.41ms;9.39ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-067b0039-7e16-48de-a228-dc7dc6d37681/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.50%;minimize_control_derivatives_offset_maximize_distance;582391.25;4.64ms;0.72ms;6.64ms;3.52ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-9aa6574c-0439-48a2-acd7-b1a19ea11103/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;45.17%;minimize_control_derivatives_offset_maximize_distance;1744918.65;12.66ms;2.47ms;20.95ms;10.32ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-d3744f1c-62ef-4629-a73b-bd5798b923f9/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;13.35%;minimize_control_derivatives_offset_maximize_distance;3810130.76;6.38ms;0.96ms;8.56ms;5.04ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-587cee32-45a7-4f11-8962-0989ada903e0/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;95.93%;minimize_control_derivatives_offset_maximize_distance;-2445384.15;13.22ms;6.90ms;86.98ms;3.07ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-cc99fd78-276c-4667-b663-d1291d6b5a43/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.89%;minimize_control_derivatives_offset_maximize_distance;1611062.35;4.88ms;1.47ms;15.01ms;1.37ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-22752074-ab4f-4452-bf9c-415b764ac402/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.88%;minimize_control_derivatives_offset_maximize_distance;200329.75;10.06ms;1.65ms;16.34ms;2.59ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-1a266e5c-1967-4ee0-87f4-b32f2dfe590c/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.90%;minimize_control_derivatives_offset_maximize_distance;-4117304.04;4.78ms;1.35ms;14.18ms;1.21ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-3e3e305c-7fde-49f1-9025-704777b05670/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.89%;minimize_control_derivatives_offset_maximize_distance;-2466636.10;11.53ms;2.70ms;30.46ms;5.61ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-c5a1ffbf-ee15-433b-959b-343e6bf06a4d/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;33.45%;minimize_control_derivatives_offset_maximize_distance;213352.89;5.73ms;1.97ms;13.07ms;4.37ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-c50d69fa-453a-40d4-a9e3-71f514bb5b24/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.75%;minimize_control_derivatives_offset_maximize_distance;10202191.47;9.35ms;2.32ms;16.37ms;4.82ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-e74d295e-32a2-4dfb-99a8-c7c397e269b6/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;0%;minimize_control_derivatives_offset_maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-924ef324-abda-462a-bb8b-5dd5abe42b89/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.93%;minimize_control_derivatives_offset_maximize_distance;-767377.98;10.79ms;1.35ms;15.61ms;2.15ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-94702495-ca1c-4243-a5f9-bc8f80aff7a7/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;41.33%;minimize_control_derivatives_offset_maximize_distance;4185438.26;6.10ms;0.95ms;9.17ms;5.29ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-1797cf13-6287-4066-99c5-7090762353c1/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;21.71%;minimize_control_derivatives_offset_maximize_distance;2496385.52;11.67ms;2.11ms;15.45ms;10.13ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-bee8b3e6-ae67-419f-92ea-99988b9b8fa5/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.55%;minimize_control_derivatives_offset_maximize_distance;1560072.92;3.84ms;0.34ms;4.44ms;3.46ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-03881ebe-b5bb-4e7e-bb00-9dd2700d1226/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;37.27%;minimize_control_derivatives_offset_maximize_distance;2479058.64;9.65ms;1.48ms;14.19ms;8.74ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-027cd126-951f-43f0-9b86-7bf02b0cff68/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;45.00%;minimize_control_derivatives_offset_maximize_distance;2674306.67;3.91ms;0.92ms;6.25ms;3.32ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-9d6310cc-325b-434b-ae58-19e962100427/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;0%;minimize_control_derivatives_offset_maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-892c5f2b-8888-407a-a8df-6dbcd54e64f0/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;0%;minimize_control_derivatives_offset_maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-5c409d35-3d29-4526-806e-5dc14e991b5d/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;41.74%;minimize_control_derivatives_offset_maximize_distance;5682973.10;10.61ms;1.43ms;15.06ms;8.92ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-fc86c036-afd8-4465-8da2-ca361bbdd9d9/stats.pdf""; ""Stats"")"
