model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;70.47%;minimize_offset_from_reference_path;-786.37;7.02ms;1.10ms;13.06ms;6.06ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-a18e940b-41a2-4268-bb4f-50ec37d01b96/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.81%;minimize_offset_from_reference_path;-508.09;3.03ms;0.21ms;4.10ms;2.76ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-4d7c4bc0-663c-4b19-a2c2-9f1b5b84a875/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;45.49%;minimize_offset_from_reference_path;-470.41;7.63ms;6.71ms;55.45ms;6.22ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-a0d0f741-48f8-4efd-a344-8e647a832e6a/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;95.96%;minimize_offset_from_reference_path;-4322.66;3.28ms;1.02ms;13.48ms;0.79ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-56adcb79-452e-4a33-bea7-fa6def92aaa0/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;67.26%;minimize_offset_from_reference_path;-2984.31;8.16ms;5.26ms;94.31ms;6.30ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-28f7e32f-e18f-4f6c-baf0-60d6946100e0/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.89%;minimize_offset_from_reference_path;-2210.00;3.03ms;2.19ms;32.77ms;1.12ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-d826af9d-ef2b-4a2c-911f-18f1d16a4f6e/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.88%;minimize_offset_from_reference_path;-2181.21;6.32ms;1.38ms;19.92ms;1.99ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-584fe8ed-dda2-4b88-95c5-8e27d4679cb0/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.94%;minimize_offset_from_reference_path;-2522.39;3.13ms;1.00ms;12.91ms;0.86ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-57b3d891-b717-48d2-8e17-f74a06e35f19/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.92%;minimize_offset_from_reference_path;-2733.52;6.74ms;2.17ms;22.39ms;1.92ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-d3e1eca3-5b6c-4c88-8345-2a8b5ac2b7d0/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.85%;minimize_offset_from_reference_path;-1009.15;2.42ms;0.62ms;5.31ms;1.09ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-33e44990-7237-4592-9eae-6d1090c8c141/stats.pdf""; ""Stats"")"
